District,TotalFilings,Chapter7,Chapter11,Chapter12,Chapter13,Business,NonBusiness,Year
"TN, W    ",17854.0,5165,49,2,12638,242.0,17612.0,2011
     7TH ,139854.0,104834,571,47,34402,3660.0,136194.0,2011
"IL, N    ",59093.0,43878,334,0,14881,1832.0,57261.0,2011
"IL, C    ",8814.0,7071,21,1,1721,192.0,8622.0,2011
"IL, S    ",5303.0,3344,11,3,1945,111.0,5192.0,2011
"IN, N    ",15909.0,12493,31,2,3383,262.0,15647.0,2011
"IN, S    ",23427.0,16699,87,5,6636,467.0,22960.0,2011
"WI, E    ",19430.0,14611,43,17,4759,497.0,18933.0,2011
"WI, W    ",7878.0,6738,44,19,1077,299.0,7579.0,2011
     8TH ,80783.0,60213,341,66,20158,2481.0,78302.0,2011
"AR, E    ",8676.0,4211,30,4,4431,196.0,8480.0,2011
"AR, W    ",5928.0,3658,38,14,2217,228.0,5700.0,2011
"IA, N    ",2924.0,2752,10,5,157,159.0,2765.0,2011
"IA, S    ",5041.0,4479,14,5,543,197.0,4844.0,2011
MN       ,19382.0,16420,85,11,2866,691.0,18691.0,2011
"MO, E    ",15674.0,11428,32,3,4211,251.0,15423.0,2011
"MO, W    ",13409.0,9770,82,5,3552,388.0,13021.0,2011
NE       ,6603.0,4678,31,12,1878,225.0,6378.0,2011
ND       ,1269.0,1120,7,0,142,47.0,1222.0,2011
SD       ,1877.0,1697,12,7,161,99.0,1778.0,2011
     9TH ,365658.0,277863,3369,129,84287,12225.0,353433.0,2011
AK       ,999.0,839,5,0,155,58.0,941.0,2011
AZ       ,36556.0,30853,464,12,5226,1351.0,35205.0,2011
"CA, N    ",35253.0,22330,397,22,12500,1313.0,33940.0,2011
"CA, E    ",48911.0,38400,240,34,10237,1316.0,47595.0,2011
"CA, C    ",134501.0,99170,1165,9,34154,4313.0,130188.0,2011
"CA, S    ",21486.0,17058,156,2,4270,616.0,20870.0,2011
HI       ,3352.0,2585,24,2,741,165.0,3187.0,2011
ID       ,7666.0,6722,54,14,875,305.0,7361.0,2011
MT       ,2595.0,2169,26,8,392,115.0,2480.0,2011
NV       ,24519.0,18842,479,4,5194,989.0,23530.0,2011
OR       ,17681.0,13886,58,13,3724,549.0,17132.0,2011
"WA, E    ",6337.0,4925,46,5,1361,201.0,6136.0,2011
"WA, W    ",25659.0,19974,255,4,5425,923.0,24736.0,2011
GUAM     ,141.0,108,0,0,33,10.0,131.0,2011
NMI      ,2.0,2,0,0,0,1.0,1.0,2011
     10TH,79095.0,61441,406,48,17199,2749.0,76346.0,2011
CO       ,30409.0,25225,139,2,5043,1162.0,29247.0,2011
KS       ,10073.0,6882,63,25,3103,298.0,9775.0,2011
NM       ,5674.0,5149,51,1,473,203.0,5471.0,2011
"OK, N    ",3796.0,3371,10,3,412,141.0,3655.0,2011
"OK, E    ",2008.0,1792,5,2,208,49.0,1959.0,2011
"OK, W    ",7315.0,5678,32,11,1594,216.0,7099.0,2011
UT       ,18415.0,12185,90,3,6137,597.0,17818.0,2011
WY       ,1405.0,1159,16,1,229,83.0,1322.0,2011
     11TH,199061.0,119137,1574,83,78260,6899.0,192162.0,2011
"AL, N    ",17135.0,8057,84,10,8983,376.0,16759.0,2011
"AL, M    ",7839.0,2095,41,4,5699,166.0,7673.0,2011
"AL, S    ",5420.0,1740,39,2,3639,99.0,5321.0,2011
"FL, N    ",4413.0,3798,52,2,561,317.0,4096.0,2011
"FL, M    ",53555.0,39924,584,17,13029,2389.0,51166.0,2011
"FL, S    ",36847.0,27214,344,5,9281,1310.0,35537.0,2011
"GA, N    ",52649.0,29619,306,9,22714,1574.0,51075.0,2011
"GA, M    ",11607.0,4445,42,29,7091,407.0,11200.0,2011
"GA, S    ",9596.0,2245,82,5,7263,261.0,9335.0,2011
CHAPTER 9,,,CHAPTER 15,,,,,2011
RI       ,1.0,013,MA       ,1,011,,,2011
"NY, E    ",1.0,022,"NY, E    ",1,022,,,2011
"PA, M    ",1.0,033,"NY, S    ",15,023,,,2011
SC       ,2.0,045,DE       ,19,030,,,2011
"AR, W    ",1.0,081,"TX, N    ",4,055,,,2011
NE       ,4.0,087,"TX, S    ",1,057,,,2011
"CA, N    ",1.0,09C,"TX, W    ",1,058,,,2011
ID       ,1.0,09H,"KY, E    ",1,060,,,2011
"AL, N    ",1.0,11A,AZ       ,1,09B,,,2011
,,,"CA, N    ",3,09C,,,2011
,,,"CA, C    ",3,09E,,,2011
,,,"WA, W    ",1,09M,,,2011
,,,"OK, E    ",1,10E,,,2011
,,,"FL, M    ",1,11E,,,2011
,,,"FL, S    ",3,11F,,,2011
,,,"GA, N    ",1,11G,,,2011
,,,"GA, S    ",1,11I,,,2011
"NY, S    ",10622.0,8317,751,1,1516,1108.0,9514.0,2012
"NY, W    ",6192.0,4455,52,3,1682,245.0,5947.0,2012
VT       ,1030.0,819,2,4,204,54.0,976.0,2012
